Variable Group,Variable Name,Description,Values
Project Data,sort_number,"A convenience variable for re-sorting rows back to original state. Values are unique and ordered, but may not be sequential; numbers were assigned before removing reports without consent, or that did not conform to the requirements of the courses or study.","Numeric, 1-4650"
Report Details,textfile_name,Unique report IDs matching text files containing the body of that report. Our reports are provided in the accompanying Reports directory.,Character
Report Details,topic,"The topic covered by the report. These are distinct to each course:  
BIO101L - Manduca, Metabolism (only from Fall of 2017), and Nerves
BIO102L - Photosynthesis and Signaling 
BIO103L - Allocation and Behavior ","Factor:
""allocation""
""behavior""
""manduca""
""metabolism""
""nerves""
""photosynthesis""
""signaling"""
Report Details,report_title,The student-created title for their report,Character
Report Details,submit_date,Date of submission in POSIX format,POSIX
Report Details,semester,"The semester of submission. Coded as SemesterYear where Semester can be FA for Fall or SP for Spring, and the year is 17, 18, or 19, representing year 2017, 2018, or 2019, respectively","Factor:
""FA17""
""SP18""
""FA18""
""SP19""
""FA19"""
Report Details,course,"Number of the biology course. BIO 101L is an introductory course, covers comparative physiology. BIO102L is an upper-level course covering cellular biology, including developmental biology, immunology, and bioenergetics. BIO103L is an introductory course with a mix of first year and more senior students which covers genetics, ecology, and evolution.","Factor:
""BIO101L""
""BIO102L""
""BIO103L"""
Report Details,order,Whether the paper was the first or second assigned for the course. ,"Factor:
""first""
""second"""
Report Details,sub_rev,Whether the paper draft was the first submitted (submission) or the final draft turned in after receiving comments from both the automated grading system SAWHET and TA review (revision).,"Factor:
""submission""
""revision"""
Report Details,RptFleschScore,"Flesch reading ease scores derived for each report. Flesch scores give texts a score between 1 and 100, where 100 is the highest readability score. Broadly, Flesch looks at the length of words in syllables and the length of sentences in words. Texts containing longer words and sentences ona average are given lower scores, whereas those with simpler, shorter words and sentences are given higher scores.","Numeric, 1-100"
Report Details,RptTTR,Type-Token Ratio values derived for each report. TTR gives a score assessing lexical diversity: how varied the vocabulary in the report is. TTR is calculated by dividing the number of unique words by the number of total words. Higher scores represent higher lexical variation (more unique words used),"Numeric, 0-1"
Report Details,RptBioTermFreq,Frequency of biology-related words derived from a curated list. Calculated by number of words on the list divided by total number of words in the document,"Numeric, 0-1"
Report Details,timeline,"A variable of convenience, created by pasting the year, semester, paper order, and numeric form of submission. This was done such that the resulting factors would be in chronological order. Note that this priveleges smaller course numbers as occuring earlier than large course numbers, though of course the courses were runnning simultaneously.","Factor:
""2017_2_fall_103first1""
""2017_2_fall_103first2""
""2017_2_fall_103second1"" 
""2017_2_fall_103second2""
""2017_2_fall_101first1""
""2017_2_fall_101first2""
""2017_2_fall_101second1""
""2017_2_fall_101second2""
""2017_2_fall_102first1""
""2017_2_fall_102first2""
""2017_2_fall_102second1""
""2018_1_spring_103first1""
""2018_1_spring_103first2""
""2018_1_spring_103second1""
""2018_1_spring_103second2""
""2018_1_spring_101first""
""2018_1_spring_101first2""
""2018_1_spring_101second1""
""2018_1_spring_101second2""
""2018_1_spring_102first1""
""2018_1_spring_102first2""
""2018_1_spring_102second1""
""2018_1_spring_102second2""
""2018_2_fall_103first1""
""2018_2_fall_103first2""
""2018_2_fall_103second1""
""2018_2_fall_103second2""
""2018_2_fall_101first1""
""2018_2_fall_101first2""
""2018_2_fall_101second1""
""2018_2_fall_101second2""
""2018_2_fall_102first1""
""2018_2_fall_102first2""
""2018_2_fall_102second1""
""2018_2_fall_102second2""
""2019_1_spring_103first1""
""2019_1_spring_103first2""
""2019_1_spring_103second1""
""2019_1_spring_103second2""
""2019_1_spring_101first1""
""2019_1_spring_101first2""
""2019_1_spring_101second1""
""2019_1_spring_101second2""
""2019_1_spring_102first1""
""2019_1_spring_102first2""
""2019_2_fall_103first1""
""2019_2_fall_103first2""
""2019_2_fall_103second1""
""2019_2_fall_101first1""
""2019_2_fall_101first2""
""2019_2_fall_102first1"""
Report Grading,Rpt_Grade,"The initial grade given for the report, ranging from 0 to 4, with 4 being full credit. This grade was given through a bins-based grading model, using nineteen criteria. 

There are 5 basica criteria which must be satisfied in order to meet the standard for acceptability or else receive a failing grade. Theses are the presence of a clear hypothesis; organization of the report into the format of a scientific paper with appropriate sections (intro, methods, results, discussion); clear data summarized into tables or figures; interpretation of results, including stating whether the hypothesis was supported; and finally, the presence of citations in the appropriate format.

Beyond the basic criteria, graders were instructed to look for technical and writing flaws. Technical flaws include reporting raw data or making errors in figures, not supporting claims with evidence, using statistics incorrectly, not referring to figures or tables, misusing citations, and not connecting claims to evidence. Writing flaws include unclear wording or syntax, lack of clear thought process, lack of precision of language, wordiness, improper diction (should be technical so use of ""emotional language"" or slang should be avoided), or distracting elements that prevent readers from clearly understanding outcomes.

The binned scores range from 0 to 4, with 4 being full credit. A score of 0 means there was no report turned in or the report was plagiarized. A score of 1 means that the report did not meet at least one of the basic criteria. A score of 2 indicates the presence of both technical and writing flaws. A score of 3 indicates the presence of either technical or writing flaws. A score of 4 represents a report that meets basic criteria and has no major technical or writing flaws.","Integer, 0-4"
Report Grading,Rpt_Grade_Mismatch ,"Logical, with 1 representing an identified error in GTA grading, 0 representing no error","Logical, 1/0"
Report Grading,direction_mismatch ,"Numeric, the difference between the reported and correct grade; can be calculated by the report grade minus the corrected report grade",
Report Grading,sawhet_accuracy ,Subjective estimate by GTA of accuracy of the automated comments by SAWHET system,"Factor:
""0.4""
""0.5""
""0.6""
""0.7""
""0.8""
""0.9"""
Report Grading,variance_reason ,Explanation of why a grade correction was required,Character
Report Grading,Corr_Rpt_Grade ,"Finalized report grade, ranging from 0 to 4. See the Rpt_Grade variable for an explanation of the bins-based grading system","Integer, 0-4"
Report Grading,grading_date ,The date of the TA grading in POSIX format.,POSIX
Report Grading,grading_time ,The time (in minutes) taken for each report to be graded,Integer
Report Grading,NOTE: Grading components,"The following 5 variables describe whether the basic criteria of the report were present. These are coded as yes or no, where yes represents that the report adequately met the criterion while no shows that the report did not do so.","Logical, yes/no"
Report Grading,hypothesis,Whether the report shows a clear hypothesis with defined research goals.,"Logical, yes/no"
Report Grading,data,"Whether the report clearly presents lab data, summarized in figures and tables.","Logical, yes/no"
Report Grading,citations,Whether the report cites relevant literature in an appropriate format and ties those sources in to the discussion.,"Logical, yes/no"
Report Grading,interpretation,"Whether the report interprets the results correctly in context, including whether the hypothesis was supported and why.","Logical, yes/no"
Report Grading,organization,"Whether the report is organized as a scientific paper with introduction, method, results, and discussion in the proper order","Logical, yes/no"
Report Grading,technical_flaws,"If yes, report shows technical flaws","Logical, yes/no"
